,Name,MSE,MAE,R-Squared
0,Linear Regressor,140.8656374863875,8.894176757745061,0.3892470226406781
1,Gradient Boost,124.09541552159509,8.474874498913842,0.6624169357430383
2,Random Forest Regressor,136.4457263663296,8.810829367869829,0.3289336867109999
3,Gaussian Process Regressor,134.52589123643165,8.884057593488135,0.36890342386077124
4,Voter,92.61423224769808,7.332338279732673,0.5059497515864856
