Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
271,South Alabama,17,9,8,.529,-6.00,-1.08,,2,3,,5,4,,4,4,,1260,1309,,70.3,102.4,.305,.371,.529,46.9,40.4,9.3,6.7,.493,13.4,23.4,.225
272,South Carolina,17,14,3,.824,9.43,1.37,,2,2,,9,1,,2,2,,1236,1099,,65.1,110.9,.334,.434,.540,53.1,57.0,7.4,9.1,.505,13.7,34.8,.242
273,South Carolina State,18,4,14,.222,-15.19,-1.06,,0,2,,4,3,,0,11,,1286,1487,,73.0,97.2,.334,.289,.483,51.2,56.3,11.8,10.4,.446,16.9,37.9,.226
274,South Carolina Upstate,16,5,11,.313,-11.40,-1.56,,0,3,,3,3,,2,8,,1156,1171,,69.1,103.0,.310,.394,.529,47.2,52.8,11.5,9.2,.507,15.0,27.0,.201
275,South Dakota,18,8,10,.444,-12.35,-4.55,,1,2,,5,3,,2,6,,1363,1374,,71.3,106.2,.319,.341,.538,54.4,48.1,5.5,5.1,.507,16.2,35.3,.226
276,South Dakota State,18,9,9,.500,-0.36,0.57,,2,1,,5,2,,2,3,,1374,1306,,70.0,109.0,.282,.414,.573,50.7,47.9,9.5,10.9,.556,15.6,26.2,.187
277,South Florida,14,9,5,.643,3.27,-2.87,,2,1,,8,2,,0,3,,1070,984,,71.4,107.0,.394,.392,.536,49.5,56.5,10.4,10.1,.495,13.0,27.9,.285
278,Southeast Missouri State,18,6,12,.333,-19.31,-4.38,,1,4,,6,3,,0,8,,1250,1343,,71.5,96.5,.305,.364,.508,48.0,52.0,8.1,7.5,.479,15.9,25.9,.206
279,Southeastern Louisiana,17,6,11,.353,-10.36,0.86,,1,3,,4,1,,2,8,,1150,1219,,66.6,101.6,.322,.377,.523,50.7,59.8,10.3,4.5,.490,17.2,33.0,.225
280,Southern,17,9,8,.529,-4.79,2.71,,3,1,,6,0,,3,8,,1282,1233,,73.4,101.2,.321,.377,.526,47.6,51.9,14.1,7.6,.500,15.9,28.5,.213
281,Southern California,17,8,9,.471,9.25,6.90,,2,4,,5,3,,1,4,,1305,1265,,71.2,107.1,.357,.393,.554,50.5,57.4,9.8,12.2,.521,16.0,30.8,.254
282,Southern Illinois,17,12,5,.706,6.90,-1.41,,4,2,,9,2,,2,2,,1260,1096,,65.7,112.8,.378,.406,.586,50.1,59.4,8.6,8.6,.549,14.6,26.3,.285
283,SIU Edwardsville,18,10,8,.556,-6.32,-3.12,,3,2,,8,1,,0,7,,1284,1240,,66.0,108.1,.367,.359,.538,49.8,47.2,10.1,12.8,.500,13.6,30.8,.262
284,Southern Indiana,18,5,13,.278,-13.21,-1.74,,2,3,,4,4,,1,9,,1200,1279,,70.3,94.1,.323,.360,.498,51.4,52.6,8.9,9.8,.459,17.4,28.3,.230
285,Southern Methodist,17,12,5,.706,13.89,1.52,,3,1,,8,2,,3,2,,1270,1053,,68.2,109.6,.283,.348,.538,53.6,57.2,12.3,14.7,.512,14.9,38.0,.195
286,Southern Mississippi,17,9,8,.529,-7.40,-2.66,,3,2,,5,1,,4,4,,1194,1212,,70.0,100.3,.384,.325,.509,49.8,49.8,10.8,13.1,.468,15.1,30.8,.266
287,Southern Utah,16,5,11,.313,-6.19,-0.19,,0,5,,4,3,,0,8,,1233,1265,,71.1,107.5,.351,.370,.534,48.1,44.2,9.2,4.6,.494,13.4,30.2,.258
288,St. Bonaventure,15,10,5,.667,7.28,-0.39,,1,2,,5,2,,3,1,,1109,994,,66.3,111.5,.285,.380,.571,52.6,48.5,9.4,11.3,.536,14.6,31.2,.225
289,St. John's (NY),18,12,6,.667,15.43,7.98,,4,3,,8,1,,2,3,,1402,1268,,70.1,111.1,.275,.321,.528,53.3,53.2,9.7,13.2,.501,13.7,39.8,.194
290,St. Thomas,19,13,6,.684,1.31,-4.31,,3,1,,7,1,,5,4,,1395,1187,,64.1,114.5,.284,.470,.579,50.4,56.5,9.3,7.4,.552,13.0,27.2,.210
291,Stanford,16,9,7,.563,9.29,5.85,,4,2,,7,2,,2,2,,1262,1207,,71.3,108.0,.276,.405,.581,50.0,63.5,7.4,7.6,.557,15.9,23.1,.200
292,Stephen F. Austin,17,11,6,.647,1.11,-3.43,,4,2,,5,2,,4,3,,1346,1193,,74.3,105.0,.400,.334,.557,54.4,49.3,13.2,8.6,.520,19.8,37.8,.285
293,Stetson,19,11,8,.579,-3.68,-0.43,,3,1,,6,1,,3,7,,1470,1342,,67.6,114.4,.251,.438,.578,50.1,53.6,8.2,7.4,.545,14.2,30.4,.203
294,Stonehill,19,2,17,.105,-19.97,-2.36,,0,4,,2,4,,0,13,,1208,1498,,70.8,89.3,.234,.453,.487,43.7,47.4,10.2,7.7,.461,17.6,21.9,.161
295,Stony Brook,17,9,8,.529,-5.63,-1.63,,2,2,,6,2,,3,6,,1205,1228,,67.8,103.0,.286,.377,.518,49.4,44.7,10.3,10.1,.489,13.9,28.4,.200
296,Syracuse,17,12,5,.706,9.39,8.14,,3,3,,8,0,,2,3,,1290,1221,,73.3,103.4,.306,.337,.536,48.6,49.6,12.7,12.9,.501,15.0,27.4,.227
297,Tarleton State,16,10,6,.625,-2.63,1.45,,3,2,,5,1,,3,5,,1111,1049,,66.8,103.9,.273,.286,.514,49.6,47.3,13.8,10.3,.480,15.0,34.1,.201
298,TCU,17,13,4,.765,16.16,1.16,,2,2,,9,0,,2,2,,1421,1166,,72.7,114.0,.351,.296,.569,54.6,62.0,13.9,10.4,.536,14.6,36.1,.255
