Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
267,Santa Clara,15,9,6,.600,4.22,1.79,,,,,5,2,,1,2,,1157,1086,,600,382,932,.410,121,366,.331,201,286,.703,166,518,195,116,33,169,261
268,Seattle,13,8,5,.615,6.46,0.21,,1,1,,7,2,,1,3,,985,855,,535,302,740,.408,75,269,.279,176,249,.707,111,412,143,79,42,174,250
269,Seton Hall,14,9,5,.643,8.96,4.10,,2,1,,7,1,,1,2,,1022,954,,560,333,805,.414,111,323,.344,177,232,.763,154,460,192,98,60,187,241
270,Siena,13,2,11,.154,-21.81,-4.27,,1,1,,2,3,,0,6,,774,1002,,520,377,785,.480,97,265,.366,151,216,.699,140,455,183,129,50,146,220
271,South Alabama,13,8,5,.615,-4.28,-2.28,,1,0,,5,2,,3,3,,954,954,,535,345,787,.438,82,278,.295,182,269,.677,144,500,143,87,56,157,213
272,South Carolina,13,12,1,.923,10.17,-2.21,,,,,8,0,,1,1,,981,820,,520,288,716,.402,77,227,.339,167,235,.711,116,414,143,68,53,142,216
273,South Carolina State,16,4,12,.250,-15.70,-0.34,,,,,4,1,,0,11,,1136,1326,,645,434,915,.474,135,366,.369,323,430,.751,168,587,267,153,79,246,290
274,South Carolina Upstate,14,5,9,.357,-12.18,-1.36,,0,1,,3,2,,2,7,,1006,1012,,565,342,762,.449,86,286,.301,242,334,.725,140,517,162,90,42,204,232
275,South Dakota,16,8,8,.500,-11.16,-5.00,,1,1,,5,3,,2,4,,1234,1208,,640,449,1045,.430,134,377,.355,176,254,.693,183,554,229,110,57,162,300
276,South Dakota State,15,7,8,.467,-0.23,1.77,,1,0,,4,2,,1,2,,1124,1066,,600,369,901,.410,143,407,.351,185,255,.725,155,540,197,102,52,177,254
277,South Florida,11,7,4,.636,3.30,-3.43,,,,,6,2,,0,2,,842,768,,440,272,633,.430,80,243,.329,144,223,.646,120,409,154,69,34,165,220
278,Southeast Missouri State,14,5,9,.357,-18.13,-1.32,,1,1,,5,2,,0,6,,991,1070,,565,372,786,.473,81,250,.324,245,360,.681,108,499,189,100,41,186,265
279,Southeastern Louisiana,13,5,8,.385,-12.02,2.28,,,,,4,0,,1,6,,883,938,,520,330,746,.442,107,333,.321,171,226,.757,138,445,196,95,46,163,217
280,Southern,13,6,7,.462,-5.91,8.09,,,,,4,0,,2,7,,990,976,,525,338,719,.470,93,290,.321,207,303,.683,127,474,197,91,46,241,204
281,Southern California,14,7,7,.500,8.02,4.88,,1,2,,4,2,,1,3,,1090,1046,,565,368,858,.429,117,336,.348,193,269,.717,161,496,213,103,48,189,264
282,Southern Illinois,14,10,4,.714,9.19,-1.20,,2,1,,9,1,,0,2,,1054,888,,560,323,786,.411,68,253,.269,174,254,.685,144,460,144,86,50,163,244
283,SIU Edwardsville,15,8,7,.533,-7.80,-3.13,,1,1,,6,1,,0,6,,1076,1040,,600,359,840,.427,122,338,.361,200,276,.725,163,512,194,81,46,169,253
284,Southern Indiana,15,4,11,.267,-12.36,0.72,,1,1,,3,3,,1,8,,1008,1072,,605,360,881,.409,102,313,.326,250,346,.723,147,544,193,105,43,167,250
285,Southern Methodist,14,10,4,.714,14.39,0.77,,1,0,,7,2,,2,1,,1059,863,,560,298,824,.362,80,307,.261,187,263,.711,175,484,165,117,67,184,197
286,Southern Mississippi,13,6,7,.462,-10.56,-3.83,,0,1,,3,1,,3,3,,907,928,,520,325,745,.436,111,311,.357,167,241,.693,137,469,185,101,41,182,223
287,Southern Utah,13,5,8,.385,-4.01,-0.10,,0,2,,4,1,,0,7,,1014,1005,,525,389,783,.497,74,225,.329,153,225,.680,135,477,181,74,47,177,250
288,St. Bonaventure,13,10,3,.769,9.39,-0.77,,1,0,,5,1,,3,0,,981,849,,520,301,697,.432,84,275,.305,163,236,.691,114,388,172,54,33,177,199
289,St. John's (NY),14,10,4,.714,15.92,6.06,,2,1,,7,1,,1,1,,1116,978,,560,342,822,.416,92,273,.337,202,278,.727,163,474,164,85,47,193,230
290,St. Thomas,16,11,5,.688,0.38,-4.77,,2,0,,6,0,,4,4,,1165,980,,640,350,843,.415,97,315,.308,183,267,.685,148,510,186,90,42,194,255
