Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
53,Clemson,0.706,14.76,7.29,0.0519999999999999,-19,0.007,0.036,7,0,0,1,0,0,0,0,0.3333333333333333,0.7777777777777778,0.4,-0.23529411764705882,-1.1176470588235294,3.8823529411764706,1.588235294117647,-0.058823529411764705,-0.9411764705882353,1.2352941176470589,5.0,3.823529411764706,-1.4705882352941178,2.3529411764705883,0.5882352941176471,0.17647058823529413
54,Cleveland State,0.579,-3.1,-3.83,-0.02,-22,0.0459999999999999,0.004,3,0,0,0,0,0,0,0,0.5,1.0,0.2,0.5789473684210527,-1.1578947368421053,1.368421052631579,5.7368421052631575,0.5789473684210527,0.7368421052631579,0.7894736842105263,-1.9473684210526316,-1.1578947368421053,3.0526315789473686,1.368421052631579,-4.421052631578948,1.4210526315789473
55,Coastal Carolina,0.313,-8.19,-2.4,0.0529999999999999,-166,-0.004,-0.0839999999999999,-1,0,0,0,0,0,0,0,0.4,0.3076923076923077,0.3333333333333333,-3.4375,-10.375,1.6875,-4.0625,-0.875,1.1875,-0.5,4.125,-1.0,-1.75,0.375,3.4375,0.4375
56,Colgate,0.529,-1.06,-0.06,0.015,0,0.0349999999999999,0.034,3,0,0,0,0,0,0,0,0.75,0.6666666666666666,0.375,0.8235294117647058,0.0,1.2352941176470589,0.8235294117647058,0.35294117647058826,-0.23529411764705882,0.8823529411764706,3.0,1.1764705882352942,0.7058823529411765,0.0,-0.23529411764705882,0.11764705882352941
57,College of Charleston,0.765,3.87,-0.01,-0.006,133,-0.008,0.012,5,0,0,0,0,0,0,0,1.0,1.0,0.8,2.2941176470588234,7.823529411764706,0.5294117647058824,2.1176470588235294,2.4705882352941178,3.1176470588235294,3.235294117647059,3.823529411764706,3.0588235294117645,-0.8823529411764706,-0.4117647058823529,-0.8823529411764706,-2.0588235294117645
58,Colorado,0.706,14.41,5.23,0.074,-73,0.043,0.036,9,0,0,0,0,0,0,0,0.5,1.0,0.0,-0.7647058823529411,-4.294117647058823,3.411764705882353,-1.9411764705882353,3.1176470588235294,3.235294117647059,1.411764705882353,7.705882352941177,6.411764705882353,-1.588235294117647,-1.2352941176470589,1.2941176470588236,-3.235294117647059
59,Colorado State,0.824,16.41,6.94,0.083,25,0.0469999999999999,0.018,12,0,0,0,0,0,0,0,0.5,0.9,0.5,1.5294117647058822,1.4705882352941178,4.588235294117647,-0.35294117647058826,2.176470588235294,2.4705882352941178,-1.8823529411764706,0.7647058823529411,8.352941176470589,1.5294117647058822,0.7647058823529411,-2.7058823529411766,-0.23529411764705882
60,Columbia,0.6,-5.57,-4.74,0.0579999999999999,-83,0.077,0.061,10,0,0,0,0,0,0,0,0.0,0.875,0.2857142857142857,0.06666666666666667,-5.533333333333333,3.1333333333333333,-0.9333333333333333,3.8666666666666667,3.8,-0.26666666666666666,4.066666666666666,4.133333333333334,2.0,-2.066666666666667,-1.0666666666666667,-0.3333333333333333
61,Connecticut,0.882,19.22,1.69,0.1089999999999999,129,0.0169999999999999,0.015,17,0,0,0,0,1,0,5,0.8333333333333334,1.0,0.5,3.0,7.588235294117647,7.176470588235294,2.1176470588235294,0.17647058823529413,-0.17647058823529413,1.5294117647058822,8.470588235294118,7.764705882352941,0.5294117647058824,2.6470588235294117,-0.7058823529411765,-0.5294117647058824
62,Coppin State,0.125,-19.97,-3.47,-0.067,-93,-0.081,-0.049,-17,0,0,0,0,0,0,0,0.5,0.5,0.0,-3.3125,-5.8125,-4.75,-2.5625,-3.6875,-4.0,-3.4375,-9.5,-7.0625,-0.6875,-0.3125,1.3125,2.125
