Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Pat Skerry,Towson,CAA,,9,8,0.529,,,,,2011-12,202,193,0.511,,,,,,202,193,0.511,,,,
Tony Skinn,George Mason,A-10,,13,5,0.722,,,,,2023-24,13,5,0.722,,,,,,13,5,0.722,,,,
Mark Slessinger,New Orleans,Southland,,7,10,0.412,,,,,2012-13,151,194,0.438,1.0,,,,,151,194,0.438,1.0,,,
Shaka Smart,Marquette,Big East,,12,5,0.706,5.0,,,,2021-22,60,25,0.706,2.0,,,,,332,167,0.665,10.0,1.0,1.0,
Steve Smiley,Northern Colorado,Big Sky,,9,7,0.562,,,,,2020-21,54,54,0.5,,,,,,54,54,0.5,,,,
Byron Smith,Prairie View,SWAC,,6,10,0.375,,,,,2015-16,119,123,0.492,1.0,,,,,119,123,0.492,1.0,,,
Craig Smith,Utah,Pac-12,,12,5,0.706,,,,,2021-22,40,40,0.5,,,,,,193,119,0.619,2.0,,,
John Smith,Cal Poly,Big West,,4,14,0.222,,,,,2019-20,30,103,0.226,,,,,,30,103,0.226,,,,
Kyle Smith,Washington State,Pac-12,,12,5,0.706,,,,,2019-20,81,66,0.551,,,,,,245,188,0.566,,,,
Zach Spiker,Drexel,CAA,,12,6,0.667,,,,,2016-17,105,124,0.459,1.0,,,,,207,236,0.467,1.0,,,
Preston Spradlin,Morehead State,OVC,,13,5,0.722,,,,,2016-17,127,105,0.547,1.0,,,,,127,105,0.547,1.0,,,
Russell Springmann,Oral Roberts,Summit,,8,9,0.471,,,,,2023-24,8,9,0.471,,,,,,8,9,0.471,,,,
Danny Sprinkle,Utah State,MWC,,16,2,0.889,,,,,2023-24,16,2,0.889,,,,,,97,45,0.683,2.0,,,
Jerry Stackhouse,Vanderbilt,SEC,,5,11,0.312,,,,,2019-20,66,80,0.452,,,,,,66,80,0.452,,,,
Travis Steele,Miami (OH),MAC,,8,9,0.471,,,,,2022-23,20,29,0.408,,,,,,90,79,0.533,,,,
Dwayne Stephens,Western Michigan,MAC,,7,10,0.412,,,,,2022-23,15,33,0.312,,,,,,15,33,0.312,,,,
Larry Stewart,Coppin State,MEAC,,2,14,0.125,,,,,2023-24,2,14,0.125,,,,,,2,14,0.125,,,,
Damon Stoudamire,Georgia Tech,ACC,,9,8,0.529,,,,,2023-24,9,8,0.529,,,,,,80,85,0.485,,,,
Rod Strickland,Long Island University,NEC,,3,12,0.2,,,,,2022-23,6,38,0.136,,,,,,6,38,0.136,,,,
Tony Stubblefield,DePaul,Big East,,3,13,0.188,,,,,2021-22,28,52,0.35,,,,,,30,64,0.319,,,,
Jerome Tang,Kansas State,Big 12,,13,4,0.765,,,,,2022-23,39,14,0.736,1.0,1.0,,,,39,14,0.736,1.0,1.0,,
Brette Tanner,Abilene Christian,WAC,,6,10,0.375,,,,,2021-22,44,38,0.537,,,,,,44,38,0.537,,,,
John Tauer,St. Thomas,Summit,,13,6,0.684,,,,,2021-22,42,40,0.512,,,,,,42,40,0.512,,,,
Billy Taylor,Elon,CAA,,8,9,0.471,,,,,2022-23,16,33,0.327,,,,,,181,201,0.474,1.0,,,
Dedrique Taylor,Cal State Fullerton,Big West,,8,9,0.471,,,,,2013-14,149,170,0.467,2.0,,,,,149,170,0.467,2.0,,,
Rodney Terry,Texas,Big 12,,12,4,0.75,18.0,,,,2022-23,34,12,0.739,1.0,1.0,,,,197,168,0.54,2.0,1.0,,
Reggie Theus,Bethune-Cookman,SWAC,,7,9,0.438,,,,,2021-22,28,50,0.359,,,,,,122,178,0.407,1.0,,,
Wayne Tinkle,Oregon State,Pac-12,,9,7,0.562,,,,,2014-15,136,165,0.452,2.0,1.0,,,,294,256,0.535,5.0,1.0,,
Andrew Toole,Robert Morris,Horizon,,6,12,0.333,,,,,2010-11,222,222,0.5,1.0,,,,,222,222,0.5,1.0,,,
KT Turner,UT Arlington,WAC,,8,9,0.471,,,,,2023-24,8,9,0.471,,,,,,8,9,0.471,,,,
Russ Turner,UC Irvine,Big West,,12,5,0.706,,,,,2010-11,277,175,0.613,2.0,,,,,277,175,0.613,2.0,,,
Brad Underwood *,Illinois,Big Ten,,12,4,0.75,25.0,,,,2017-18,126,83,0.603,3.0,,,,,235,110,0.681,7.0,,,
Keith Urgo,Fordham,A-10,,8,8,0.5,,,,,2022-23,33,16,0.673,,,,,,33,16,0.673,,,,
Drew Valentine,Loyola (IL),A-10,,11,6,0.647,,,,,2021-22,46,35,0.568,1.0,,,,,46,35,0.568,1.0,,,
Chris Victor,Seattle,WAC,,10,7,0.588,,,,,2021-22,53,28,0.654,,,,,,53,28,0.654,,,,
Will Wade,McNeese State,Southland,,15,2,0.882,,,,,2023-24,15,2,0.882,,,,,,211,98,0.683,5.0,1.0,,
Darrell Walker,Little Rock,OVC,,8,10,0.444,,,,,2018-19,69,96,0.418,,,,,,69,96,0.418,,,,
Brian Wardle,Bradley,MVC,,12,5,0.706,,,,,2015-16,147,131,0.529,1.0,,,,,242,196,0.553,1.0,,,
Stan Waterman,Delaware State,MEAC,,9,9,0.5,,,,,2021-22,17,59,0.224,,,,,,17,59,0.224,,,,
Michael White,Georgia,SEC,,13,4,0.765,,,,,2022-23,29,20,0.592,,,,,,272,148,0.648,4.0,1.0,,
Sundance Wicks,Green Bay,Horizon,,11,8,0.579,,,,,2023-24,11,8,0.579,,,,,,11,8,0.579,,,,
Kevin Willard,Maryland,Big Ten,,11,6,0.647,,,,,2022-23,33,19,0.635,1.0,,,,,303,229,0.57,6.0,,,
Buzz Williams,Texas A&M,SEC,,10,7,0.588,15.0,,,,2019-20,86,54,0.614,1.0,,,,,339,209,0.619,9.0,4.0,,
Mo Williams,Jackson State,SWAC,,7,9,0.438,,,,,2022-23,21,28,0.429,,,,,,35,63,0.357,,,,
Andrew Wilson,VMI,Southern,,3,14,0.176,,,,,2022-23,10,39,0.204,,,,,,10,39,0.204,,,,
Reggie Witherspoon,Canisius,MAAC,,7,9,0.438,,,,,2016-17,101,121,0.455,,,,,,299,349,0.461,,,,
Mike Woodson,Indiana,Big Ten,,12,6,0.667,,,,,2021-22,56,32,0.636,2.0,,,,,56,32,0.636,2.0,,,
Jeff Wulbrun,Denver,Summit,,11,7,0.611,,,,,2021-22,37,45,0.451,,,,,,37,45,0.451,,,,
Luke Yaklich,UIC,MVC,,8,9,0.471,,,,,2020-21,43,58,0.426,,,,,,43,58,0.426,,,,
Mike Young,Virginia Tech,ACC,,10,6,0.625,,,,,2019-20,83,57,0.593,2.0,,,,,382,301,0.559,7.0,,,
Jaret von Rosenberg,Texas A&M-Commerce,Southland,,6,10,0.375,,,,,2022-23,19,29,0.396,,,,,,19,29,0.396,,,,
