Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
347,Weber State,14,10,4,.714,7.23,0.60,,2,0,,7,0,,2,2,,1070,850,,66.6,90.4,.234,.369,.499,47.8,52.8,7.2,9.1,.482,17.6,20.8,.146
348,West Virginia,13,5,8,.385,4.77,6.01,,,,,5,4,,0,0,,888,904,,67.5,102.0,.218,.411,.498,49.8,50.7,9.0,9.7,.475,12.1,29.4,.150
349,Western Carolina,14,12,2,.857,0.51,-3.76,,1,0,,6,0,,6,2,,1083,929,,69.3,95.7,.320,.278,.478,46.1,33.4,7.5,7.8,.441,12.7,25.3,.218
350,Western Illinois,14,8,6,.571,-8.65,-1.25,,1,0,,5,1,,3,5,,1013,942,,69.2,95.5,.248,.345,.478,44.1,47.7,11.1,7.4,.450,13.4,25.8,.169
351,Western Kentucky,14,11,3,.786,-1.32,-3.50,,,,,6,0,,4,1,,1125,1031,,77.1,95.5,.318,.385,.502,47.9,49.7,8.2,8.7,.464,17.0,27.1,.228
352,Western Michigan,13,4,9,.308,-8.19,-0.78,,1,0,,1,4,,1,5,,940,973,,68.5,108.1,.292,.414,.546,48.5,56.3,9.8,7.9,.524,14.6,30.9,.196
353,Wichita State,13,8,5,.615,4.75,3.42,,,,,6,0,,1,2,,979,933,,71.9,99.9,.243,.420,.493,45.6,55.2,10.4,9.1,.459,11.9,25.6,.182
354,William & Mary,13,5,8,.385,-11.68,-5.32,,,,,5,0,,0,6,,996,962,,68.9,106.4,.329,.404,.542,48.7,44.1,8.6,10.5,.504,13.1,25.6,.246
355,Winthrop,16,10,6,.625,0.92,-1.24,,1,0,,8,1,,2,5,,1252,1078,,69.3,96.4,.305,.433,.505,47.0,52.5,10.6,13.4,.462,17.0,30.0,.233
356,Wisconsin,13,10,3,.769,17.85,8.46,,2,0,,7,1,,1,2,,973,851,,66.3,98.7,.325,.369,.537,45.5,44.3,6.6,9.3,.508,17.2,23.0,.224
357,Wofford,14,8,6,.571,-2.53,0.38,,1,0,,5,0,,3,3,,1128,1072,,71.4,104.5,.335,.410,.540,45.3,49.5,9.9,9.2,.499,12.1,20.8,.252
358,Wright State,14,6,8,.429,-1.83,-0.83,,1,2,,4,2,,0,5,,1169,1115,,72.2,110.3,.293,.393,.576,48.1,52.8,8.9,5.7,.554,15.1,26.2,.206
359,Wyoming,14,8,6,.571,-1.43,2.15,,1,0,,5,1,,0,4,,1048,1022,,70.4,103.8,.257,.391,.542,49.3,44.1,12.3,10.1,.505,17.3,31.3,.205
360,Xavier,14,7,7,.500,13.96,8.67,,1,2,,6,3,,0,3,,1044,970,,71.4,97.1,.290,.330,.479,48.2,57.8,9.0,10.9,.446,14.4,31.0,.199
361,Yale,15,9,6,.600,1.60,1.30,,,,,3,1,,4,4,,1127,1015,,67.0,98.5,.256,.391,.511,46.5,55.3,8.2,8.5,.479,14.8,25.1,.188
362,Youngstown State,14,10,4,.714,0.48,-0.62,,2,1,,7,1,,3,3,,1141,971,,71.8,96.6,.260,.388,.498,45.3,57.9,7.1,8.4,.472,14.5,25.4,.175
